Start  Time: 2020/10/05, 14:56:17.572
Export Time: 2020/10/05, 14:57:27.767
Min  (dBA):   45.9
Max  (dBA):   70.3
Peak (dBA):   77.2
Avg  (dBA):   57.6
TWA  (dBA):   0.0
Dose (%):    0.0

Recorded Value (dBA),Response Time (seconds)
54.3,0.2
54.8,0.2
55.6,0.2
56.5,0.2
55.5,0.2
56.2,0.2
54.5,0.2
55.0,0.2
56.2,0.2
56.0,0.2
55.9,0.2
55.3,0.2
56.0,0.2
55.4,0.2
55.2,0.2
55.0,0.2
55.7,0.2
55.8,0.2
56.0,0.2
55.6,0.2
56.4,0.2
56.1,0.2
56.3,0.2
56.0,0.2
55.6,0.2
55.4,0.2
55.8,0.2
56.3,0.2
54.3,0.2
55.7,0.2
56.1,0.2
55.8,0.2
56.5,0.2
55.6,0.2
55.9,0.2
55.7,0.2
56.1,0.2
56.0,0.2
55.9,0.2
55.8,0.2
55.5,0.2
56.1,0.2
55.8,0.2
55.8,0.2
55.5,0.2
56.2,0.2
56.6,0.2
55.7,0.2
56.6,0.2
56.5,0.2
56.8,0.2
56.3,0.2
56.8,0.2
55.9,0.2
55.9,0.2
55.8,0.2
55.9,0.2
56.5,0.2
55.8,0.2
56.8,0.2
56.9,0.2
56.6,0.2
56.4,0.2
56.4,0.2
56.1,0.2
56.4,0.2
55.0,0.2
55.9,0.2
55.3,0.2
56.6,0.2
56.3,0.2
56.0,0.2
56.3,0.2
56.3,0.2
56.2,0.2
56.4,0.2
56.2,0.2
56.2,0.2
56.1,0.2
55.7,0.2
56.1,0.2
56.0,0.2
55.8,0.2
55.9,0.2
56.5,0.2
57.1,0.2
55.7,0.2
55.6,0.2
56.1,0.2
55.9,0.2
55.5,0.2
56.4,0.2
56.8,0.2
56.3,0.2
55.3,0.2
56.3,0.2
56.5,0.2
56.2,0.2
55.7,0.2
56.2,0.2
56.3,0.2
56.8,0.2
55.9,0.2
57.1,0.2
56.3,0.2
56.7,0.2
55.9,0.2
55.9,0.2
55.9,0.2
55.7,0.2
55.7,0.2
55.9,0.2
56.7,0.2
55.7,0.2
55.3,0.2
56.1,0.2
56.5,0.2
56.5,0.2
56.4,0.2
56.3,0.2
55.5,0.2
55.8,0.2
56.5,0.2
56.8,0.2
55.8,0.2
56.1,0.2
56.4,0.2
55.5,0.2
56.2,0.2
56.2,0.2
55.9,0.2
56.3,0.2
55.7,0.2
55.7,0.2
55.6,0.2
56.1,0.2
56.6,0.2
56.5,0.2
56.1,0.2
56.1,0.2
56.6,0.2
56.4,0.2
56.5,0.2
56.3,0.2
56.1,0.2
55.6,0.2
56.5,0.2
56.2,0.2
56.4,0.2
55.4,0.2
57.0,0.2
55.7,0.2
55.4,0.2
56.8,0.2
54.3,0.2
49.7,0.2
47.6,0.2
47.0,0.2
47.0,0.2
