Start  Time: 2020/10/02, 16:10:42.634
Export Time: 2020/10/02, 16:12:34.462
Min  (dBA):   44.3
Max  (dBA):   67.1
Peak (dBA):   76.5
Avg  (dBA):   55.9
TWA  (dBA):   0.0
Dose (%):    0.0

Recorded Value (dBA),Response Time (seconds)
45.2,0.2
44.3,0.2
44.9,0.2
46.5,0.2
49.8,0.2
54.3,0.2
51.6,0.2
46.9,0.2
53.6,0.2
53.8,0.2
50.2,0.2
49.2,0.2
45.1,0.2
45.3,0.2
51.8,0.2
56.7,0.2
54.7,0.2
49.4,0.2
50.5,0.2
46.3,0.2
56.3,0.2
53.9,0.2
51.9,0.2
53.2,0.2
53.4,0.2
54.3,0.2
56.3,0.2
57.4,0.2
55.2,0.2
46.8,0.2
49.8,0.2
55.0,0.2
55.5,0.2
48.1,0.2
46.2,0.2
45.8,0.2
45.5,0.2
45.4,0.2
48.9,0.2
49.4,0.2
49.6,0.2
48.8,0.2
50.5,0.2
47.3,0.2
46.0,0.2
46.0,0.2
46.7,0.2
45.0,0.2
45.5,0.2
46.4,0.2
45.7,0.2
45.2,0.2
46.1,0.2
46.5,0.2
47.5,0.2
46.7,0.2
46.9,0.2
45.5,0.2
46.0,0.2
45.6,0.2
46.4,0.2
46.4,0.2
46.3,0.2
47.4,0.2
47.1,0.2
46.3,0.2
45.5,0.2
45.9,0.2
45.8,0.2
45.7,0.2
46.4,0.2
47.0,0.2
47.4,0.2
48.1,0.2
47.6,0.2
50.4,0.2
50.1,0.2
49.3,0.2
48.4,0.2
47.2,0.2
49.4,0.2
49.0,0.2
47.9,0.2
47.8,0.2
49.0,0.2
48.0,0.2
47.5,0.2
46.9,0.2
47.7,0.2
48.8,0.2
55.2,0.2
53.5,0.2
52.2,0.2
50.8,0.2
54.7,0.2
54.4,0.2
57.2,0.2
57.2,0.2
55.7,0.2
54.9,0.2
53.4,0.2
57.8,0.2
52.8,0.2
51.6,0.2
49.9,0.2
59.5,0.2
56.5,0.2
47.6,0.2
46.3,0.2
