Start  Time: 2020/10/05, 14:56:17.572
Export Time: 2020/10/05, 15:00:39.668
Min  (dBA):   50.4
Max  (dBA):   67.5
Peak (dBA):   72.4
Avg  (dBA):   64.2
TWA  (dBA):   0.0
Dose (%):    0.0

Recorded Value (dBA),Response Time (seconds)
64.4,0.2
64.4,0.2
65.4,0.2
64.4,0.2
65.4,0.2
65.1,0.2
64.8,0.2
64.7,0.2
64.6,0.2
64.9,0.2
65.1,0.2
65.3,0.2
66.3,0.2
65.8,0.2
65.9,0.2
65.5,0.2
65.5,0.2
66.0,0.2
65.5,0.2
66.2,0.2
65.8,0.2
66.1,0.2
65.6,0.2
65.8,0.2
65.8,0.2
66.1,0.2
65.4,0.2
65.8,0.2
66.1,0.2
66.2,0.2
65.7,0.2
66.2,0.2
66.0,0.2
65.9,0.2
65.8,0.2
66.1,0.2
65.5,0.2
65.6,0.2
65.2,0.2
66.4,0.2
66.2,0.2
67.5,0.2
66.3,0.2
66.3,0.2
65.6,0.2
66.3,0.2
65.7,0.2
65.4,0.2
65.6,0.2
65.8,0.2
65.9,0.2
66.2,0.2
66.0,0.2
65.8,0.2
66.3,0.2
65.5,0.2
65.3,0.2
65.6,0.2
65.7,0.2
65.7,0.2
66.4,0.2
66.7,0.2
65.9,0.2
66.4,0.2
65.8,0.2
66.3,0.2
66.6,0.2
66.5,0.2
65.8,0.2
65.7,0.2
66.4,0.2
66.9,0.2
66.1,0.2
66.3,0.2
66.6,0.2
66.0,0.2
66.1,0.2
65.9,0.2
65.9,0.2
65.8,0.2
66.1,0.2
66.3,0.2
66.1,0.2
66.6,0.2
66.3,0.2
66.8,0.2
66.7,0.2
66.3,0.2
66.3,0.2
65.6,0.2
66.1,0.2
65.8,0.2
66.5,0.2
60.8,0.2
57.4,0.2
54.8,0.2
51.9,0.2
51.8,0.2
51.5,0.2
53.2,0.2
52.4,0.2
51.4,0.2
51.8,0.2
50.8,0.2
50.4,0.2
51.3,0.2
50.8,0.2
51.6,0.2
51.6,0.2
51.5,0.2
52.6,0.2
51.1,0.2
51.3,0.2
51.1,0.2
51.1,0.2
51.7,0.2
51.4,0.2
52.2,0.2
59.8,0.2
60.7,0.2
56.8,0.2
55.6,0.2
56.1,0.2
58.3,0.2
55.8,0.2
52.3,0.2
51.0,0.2
51.0,0.2
50.8,0.2
50.7,0.2
50.9,0.2
50.7,0.2
50.5,0.2
50.7,0.2
50.9,0.2
50.5,0.2
50.4,0.2
50.7,0.2
50.9,0.2
50.5,0.2
51.3,0.2
51.5,0.2
51.3,0.2
51.4,0.2
