Start  Time: 2020/10/02, 16:10:42.634
Export Time: 2020/10/02, 16:13:39.992
Min  (dBA):   47.6
Max  (dBA):   57.1
Peak (dBA):   59.4
Avg  (dBA):   49.9
TWA  (dBA):   0.0
Dose (%):    0.0

Recorded Value (dBA),Response Time (seconds)
48.6,0.2
49.2,0.2
48.8,0.2
49.2,0.2
49.0,0.2
48.6,0.2
48.5,0.2
48.6,0.2
49.4,0.2
49.1,0.2
48.8,0.2
48.2,0.2
48.1,0.2
48.5,0.2
49.1,0.2
48.3,0.2
48.4,0.2
48.5,0.2
49.1,0.2
49.0,0.2
49.2,0.2
50.7,0.2
49.4,0.2
49.8,0.2
49.3,0.2
49.3,0.2
49.4,0.2
48.9,0.2
49.4,0.2
50.1,0.2
51.4,0.2
51.3,0.2
49.9,0.2
50.2,0.2
50.2,0.2
50.9,0.2
50.3,0.2
49.1,0.2
49.9,0.2
49.8,0.2
49.0,0.2
49.3,0.2
49.0,0.2
48.6,0.2
49.1,0.2
48.8,0.2
48.5,0.2
48.8,0.2
48.9,0.2
48.8,0.2
48.6,0.2
48.8,0.2
48.7,0.2
48.4,0.2
48.6,0.2
49.0,0.2
48.3,0.2
48.6,0.2
48.7,0.2
49.0,0.2
49.2,0.2
49.9,0.2
49.4,0.2
48.8,0.2
48.5,0.2
48.4,0.2
49.2,0.2
48.9,0.2
49.9,0.2
49.1,0.2
50.5,0.2
49.8,0.2
49.1,0.2
49.7,0.2
51.5,0.2
49.7,0.2
49.4,0.2
48.7,0.2
48.3,0.2
48.7,0.2
49.5,0.2
50.1,0.2
50.8,0.2
49.3,0.2
50.3,0.2
51.5,0.2
50.3,0.2
49.2,0.2
48.6,0.2
48.3,0.2
49.1,0.2
49.4,0.2
48.9,0.2
50.7,0.2
49.4,0.2
48.9,0.2
48.6,0.2
48.4,0.2
48.8,0.2
49.1,0.2
49.7,0.2
51.1,0.2
51.2,0.2
49.5,0.2
48.7,0.2
49.1,0.2
48.3,0.2
48.3,0.2
48.5,0.2
48.8,0.2
48.4,0.2
48.3,0.2
47.9,0.2
48.7,0.2
48.3,0.2
48.5,0.2
48.3,0.2
48.7,0.2
48.7,0.2
48.4,0.2
47.9,0.2
49.0,0.2
49.8,0.2
49.9,0.2
49.7,0.2
50.0,0.2
50.3,0.2
49.2,0.2
49.1,0.2
48.8,0.2
49.1,0.2
50.3,0.2
50.5,0.2
50.5,0.2
49.5,0.2
48.7,0.2
48.6,0.2
48.4,0.2
48.3,0.2
48.4,0.2
48.1,0.2
47.6,0.2
48.7,0.2
48.3,0.2
47.9,0.2
49.1,0.2
48.8,0.2
48.6,0.2
48.8,0.2
48.1,0.2
48.4,0.2
48.8,0.2
48.7,0.2
49.3,0.2
49.9,0.2
49.5,0.2
49.5,0.2
48.7,0.2
48.4,0.2
48.4,0.2
48.6,0.2
48.6,0.2
48.8,0.2
49.1,0.2
49.0,0.2
48.8,0.2
48.8,0.2
48.7,0.2
49.0,0.2
50.0,0.2
50.1,0.2
49.8,0.2
48.9,0.2
48.7,0.2
48.7,0.2
48.7,0.2
49.2,0.2
49.7,0.2
50.2,0.2
49.0,0.2
48.6,0.2
49.2,0.2
49.0,0.2
48.8,0.2
48.5,0.2
49.1,0.2
49.5,0.2
49.4,0.2
50.2,0.2
49.8,0.2
50.4,0.2
50.5,0.2
50.0,0.2
50.3,0.2
51.5,0.2
52.8,0.2
51.5,0.2
50.7,0.2
49.6,0.2
49.2,0.2
49.1,0.2
49.4,0.2
49.2,0.2
49.2,0.2
49.5,0.2
48.8,0.2
48.3,0.2
48.7,0.2
50.3,0.2
49.6,0.2
49.2,0.2
49.1,0.2
48.6,0.2
48.6,0.2
48.9,0.2
48.8,0.2
49.1,0.2
50.3,0.2
50.3,0.2
49.9,0.2
50.6,0.2
50.4,0.2
53.1,0.2
52.1,0.2
53.1,0.2
52.1,0.2
50.5,0.2
50.9,0.2
50.5,0.2
50.6,0.2
51.2,0.2
49.6,0.2
50.3,0.2
49.2,0.2
51.0,0.2
51.9,0.2
53.4,0.2
52.6,0.2
52.3,0.2
52.9,0.2
51.0,0.2
50.7,0.2
50.5,0.2
50.1,0.2
50.4,0.2
50.5,0.2
50.5,0.2
50.2,0.2
50.7,0.2
51.2,0.2
50.6,0.2
50.6,0.2
49.6,0.2
51.3,0.2
51.2,0.2
51.6,0.2
50.5,0.2
50.6,0.2
51.1,0.2
53.3,0.2
57.1,0.2
51.8,0.2
51.3,0.2
50.2,0.2
51.5,0.2
49.5,0.2
49.6,0.2
48.9,0.2
49.1,0.2
48.4,0.2
49.6,0.2
49.9,0.2
50.0,0.2
49.4,0.2
49.5,0.2
49.5,0.2
49.4,0.2
49.6,0.2
49.4,0.2
49.5,0.2
49.5,0.2
49.6,0.2
49.1,0.2
49.5,0.2
49.4,0.2
48.8,0.2
50.2,0.2
50.1,0.2
52.5,0.2
52.2,0.2
51.8,0.2
51.7,0.2
51.5,0.2
50.6,0.2
50.3,0.2
50.8,0.2
52.1,0.2
50.0,0.2
49.8,0.2
49.8,0.2
49.7,0.2
49.4,0.2
49.3,0.2
50.0,0.2
50.0,0.2
49.8,0.2
50.9,0.2
51.6,0.2
54.4,0.2
53.1,0.2
51.2,0.2
52.6,0.2
49.4,0.2
50.9,0.2
50.2,0.2
50.3,0.2
50.3,0.2
50.3,0.2
49.9,0.2
50.0,0.2
50.1,0.2
50.1,0.2
49.4,0.2
49.8,0.2
49.5,0.2
50.1,0.2
49.6,0.2
49.2,0.2
49.9,0.2
49.1,0.2
49.5,0.2
49.7,0.2
50.3,0.2
49.8,0.2
51.0,0.2
50.2,0.2
49.4,0.2
49.0,0.2
48.2,0.2
48.9,0.2
48.5,0.2
48.9,0.2
48.4,0.2
48.6,0.2
48.7,0.2
48.2,0.2
