Start  Time: 2020/10/02, 16:10:42.634
Export Time: 2020/10/02, 16:12:03.395
Min  (dBA):   64.7
Max  (dBA):   73.6
Peak (dBA):   76.5
Avg  (dBA):   67.2
TWA  (dBA):   0.0
Dose (%):    0.0

Recorded Value (dBA),Response Time (seconds)
66.6,0.2
67.2,0.2
69.1,0.2
65.4,0.2
64.7,0.2
66.0,0.2
65.9,0.2
65.8,0.2
66.3,0.2
66.4,0.2
66.3,0.2
65.8,0.2
65.6,0.2
65.7,0.2
65.0,0.2
65.2,0.2
69.0,0.2
69.3,0.2
69.8,0.2
67.8,0.2
66.5,0.2
65.4,0.2
70.8,0.2
66.2,0.2
66.5,0.2
67.1,0.2
66.2,0.2
65.8,0.2
65.5,0.2
65.6,0.2
65.9,0.2
65.6,0.2
65.7,0.2
64.9,0.2
65.8,0.2
65.2,0.2
65.1,0.2
66.3,0.2
65.3,0.2
66.2,0.2
65.7,0.2
65.6,0.2
65.4,0.2
65.6,0.2
65.0,0.2
65.9,0.2
66.3,0.2
66.9,0.2
66.4,0.2
66.2,0.2
65.8,0.2
66.3,0.2
65.4,0.2
66.2,0.2
65.7,0.2
66.1,0.2
66.5,0.2
65.9,0.2
65.9,0.2
65.6,0.2
66.5,0.2
66.0,0.2
66.7,0.2
69.4,0.2
71.0,0.2
71.5,0.2
68.2,0.2
68.5,0.2
67.5,0.2
67.1,0.2
66.6,0.2
67.1,0.2
66.4,0.2
66.9,0.2
66.8,0.2
66.6,0.2
67.5,0.2
66.1,0.2
68.9,0.2
67.7,0.2
69.9,0.2
71.5,0.2
67.8,0.2
66.9,0.2
66.3,0.2
66.7,0.2
66.6,0.2
67.3,0.2
66.4,0.2
66.1,0.2
68.9,0.2
67.5,0.2
66.7,0.2
67.1,0.2
66.5,0.2
66.2,0.2
67.5,0.2
67.1,0.2
66.6,0.2
67.7,0.2
68.6,0.2
69.7,0.2
67.4,0.2
69.5,0.2
73.6,0.2
68.5,0.2
70.5,0.2
69.1,0.2
69.8,0.2
70.9,0.2
72.3,0.2
67.2,0.2
68.1,0.2
68.6,0.2
68.5,0.2
69.2,0.2
68.2,0.2
66.5,0.2
70.2,0.2
68.8,0.2
68.8,0.2
67.5,0.2
67.5,0.2
68.0,0.2
67.0,0.2
67.9,0.2
68.0,0.2
69.2,0.2
70.7,0.2
67.5,0.2
67.9,0.2
69.0,0.2
68.4,0.2
66.9,0.2
65.6,0.2
66.1,0.2
66.8,0.2
66.3,0.2
67.3,0.2
67.0,0.2
67.3,0.2
66.1,0.2
66.1,0.2
65.8,0.2
66.3,0.2
66.4,0.2
65.5,0.2
65.8,0.2
66.3,0.2
66.8,0.2
67.1,0.2
67.0,0.2
66.2,0.2
66.5,0.2
66.4,0.2
66.7,0.2
66.3,0.2
66.5,0.2
66.5,0.2
66.1,0.2
66.8,0.2
66.9,0.2
66.6,0.2
66.1,0.2
66.2,0.2
65.8,0.2
66.3,0.2
65.9,0.2
66.2,0.2
66.2,0.2
66.9,0.2
66.3,0.2
66.5,0.2
66.3,0.2
66.2,0.2
66.2,0.2
66.1,0.2
66.6,0.2
66.3,0.2
65.8,0.2
66.5,0.2
66.9,0.2
66.3,0.2
67.9,0.2
65.8,0.2
66.0,0.2
65.8,0.2
66.0,0.2
66.3,0.2
68.3,0.2
68.5,0.2
66.0,0.2
66.4,0.2
66.2,0.2
66.2,0.2
65.6,0.2
66.9,0.2
66.8,0.2
65.6,0.2
66.2,0.2
66.3,0.2
65.8,0.2
68.2,0.2
67.3,0.2
66.9,0.2
66.0,0.2
67.0,0.2
65.5,0.2
66.5,0.2
66.8,0.2
65.5,0.2
66.1,0.2
66.7,0.2
65.8,0.2
65.9,0.2
67.5,0.2
70.6,0.2
67.5,0.2
66.2,0.2
66.4,0.2
66.6,0.2
67.7,0.2
73.6,0.2
69.8,0.2
66.5,0.2
65.4,0.2
66.1,0.2
66.3,0.2
67.1,0.2
66.3,0.2
66.6,0.2
66.2,0.2
65.9,0.2
66.3,0.2
66.1,0.2
65.9,0.2
66.7,0.2
65.8,0.2
66.1,0.2
67.4,0.2
67.9,0.2
65.9,0.2
66.1,0.2
65.9,0.2
66.0,0.2
65.6,0.2
67.2,0.2
66.0,0.2
66.0,0.2
66.2,0.2
65.7,0.2
66.5,0.2
66.2,0.2
67.4,0.2
66.3,0.2
66.4,0.2
66.5,0.2
66.4,0.2
66.3,0.2
66.6,0.2
66.9,0.2
66.2,0.2
66.2,0.2
66.4,0.2
66.4,0.2
66.2,0.2
66.6,0.2
67.1,0.2
66.3,0.2
67.2,0.2
66.4,0.2
66.4,0.2
67.1,0.2
67.2,0.2
